timestamp,returnAmount,amount,caller,returnAmountFiat,date
1650881473000,1.9894634439032248,869780.9694373953,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5984.975189491568,4/25/2022, 6:11:13 AM
1650879016000,0.9168331410849355,400837,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2758.1424625381965,4/25/2022, 5:30:16 AM
1650786968000,0.4574350753765523,199999.99999999997,0x923383f8218d66207eab697b2a417512de0b320b,1337.0378350259396,4/24/2022, 3:56:08 AM
1650725391000,5.07964421871822,2200000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,14937.648685340871,4/23/2022, 10:49:51 AM
1650720595000,1.8316406368593223,793300,0x148f0b4392ff39e8f3d86758966ac283d32b78c2,5386.283600409834,4/23/2022, 9:29:55 AM
1650692770000,3.4632254516918315,1500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,10184.265450102237,4/23/2022, 1:46:10 AM
1650691425000,14.692903770354636,6364650.629398645,0xa62f8abb12094f5651c8ba7222a0dc1034ca4b20,43207.24547603455,4/23/2022, 1:23:45 AM
1650621696000,1.154164316330596,500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,3424.5039597315335,4/22/2022, 6:01:36 AM
1650621612000,1.5304857073663964,663036.6015312546,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4541.081621594233,4/22/2022, 6:00:12 AM
1650612891000,0.43852819693587614,190000,0xd06c67fb53693384ad5eb905b43a66cf548f5687,1301.1505602904833,4/22/2022, 3:34:51 AM
1650597880000,2.031041579306612,880000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,6026.27358366763,4/21/2022, 11:24:40 PM
1650597692000,3.461897016069843,1500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,10271.74369539091,4/21/2022, 11:21:32 PM
1650590070000,4.154124344358184,1800000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,12325.641215195008,4/21/2022, 9:14:30 PM
1650365761000,1.9603979616377802,849500.1719936949,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6086.424904050552,4/19/2022, 6:56:01 AM
1650263440000,1.0059214216873935,436000,0xea7712a08e83e2703eb0e4118cd2a77208b97311,3080.0213163793196,4/18/2022, 2:30:40 AM
1650263181000,0.1005920530719112,43599.99999999999,0xea7712a08e83e2703eb0e4118cd2a77208b97311,308.0018588331939,4/18/2022, 2:26:21 AM
1650262131000,1.007480460343328,436680.00000000006,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3084.794922139979,4/18/2022, 2:08:51 AM
1650261618000,2.0804214537747243,901749.5775068222,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6370.022833324564,4/18/2022, 2:00:18 AM
1650261435000,1.7754995494550887,769594.5370919801,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5436.385329552113,4/18/2022, 1:57:15 AM
1650261376000,1.5041908656427607,652003.7658721767,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4605.66782871687,4/18/2022, 1:56:16 AM
1650261255000,1.3504504912987674,585370.7031171251,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4134.9316261084,4/18/2022, 1:54:15 AM
1650087286000,0.5606215188365659,243027.4881934063,0xe6e8dbf284ecf49b32c417c5dd9b9cbce27dceb2,1719.0662871866343,4/16/2022, 1:34:46 AM
1650040925000,1.0695351783133533,463644.158951635,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3257.1924590230797,4/15/2022, 12:42:05 PM
1649915112000,0.972315209510634,421507.168976,0xbbce15ee9bde24b77031ed6a82e9dd9b6c7492dc,2939.714539812328,4/14/2022, 1:45:12 AM
1649857850000,9.22628529176536,4000000,0xd64ba09385c90603dc8b27e93771bb3222ce96a4,28798.925280926815,4/13/2022, 9:50:50 AM
1649853522000,1.0609431265255296,459969.73767206864,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3311.6276878400536,4/13/2022, 8:38:42 AM
1649832700000,1.1129314299293924,482513.8736339944,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3473.9039689069623,4/13/2022, 2:51:40 AM
1649659592000,0.6917394875612122,300000,0x97432c12ea8c957c3ae2d59c9953cf8df9cbc5b0,2070.1702215219584,4/11/2022, 2:46:32 AM
1649522121000,3.4810521060918607,1500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,11368.900589034143,4/9/2022, 12:35:21 PM
1649511222000,0.2693555547144137,116066.7144,0x1aef26e2b724ffde7d1105e206620e43bc8077c9,879.6985598961058,4/9/2022, 9:33:42 AM
1649510317000,2.201406814009245,948615.8866071185,0xdc66f4759f4bf0184580e26a4de697c8fd972810,7189.65831643114,4/9/2022, 9:18:37 AM
1649438674000,8.58000613313364,3698264.872907862,0x278c5caea79f3afc36f55f6bc8a78626f1aeae4a,27387.59486037918,4/8/2022, 1:24:34 PM
1649273878000,2.075127361927434,894941.8429750814,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6580.9989537718075,4/6/2022, 3:37:58 PM
1649273779000,1.7054165515509465,735507.2861587199,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5408.508772722923,4/6/2022, 3:36:19 PM
1649273641000,1.443460525351673,622539.4446339762,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4577.749000585176,4/6/2022, 3:34:01 PM
1649248688000,0.26911921747475626,116066.7144,0x07a90947c139a13878b863a628ee45a0432d0f60,853.476909964812,4/6/2022, 8:38:08 AM
1649085776000,1.2812618814735335,557000,0xd6ea521fbb4e84589426e474463cc53b29ade218,4511.280953580084,4/4/2022, 11:22:56 AM
1649074966000,3.615784418111718,1571931.599976408,0xd6ea521fbb4e84589426e474463cc53b29ade218,12731.058040156007,4/4/2022, 8:22:46 AM
1649041751000,1.1500344401678546,500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,4049.2334478285557,4/3/2022, 11:09:11 PM
1648974050000,0.8042709025499181,350000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,2832.308125003629,4/3/2022, 4:20:50 AM
1648968326000,1.1489468029922716,500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,4046.1135110007044,4/3/2022, 2:45:26 AM
