wallet,totalPaid,balance,totalPaidFiat
0x5ce4e83c76eb2b27426a67787b469033c8c5ca67,20,5158520.64,26664.1054980533
0x549afb2f9cdb90fdef7861b65c2bcf80aabbf765,20,0,26664.1054980533
0x3e11f2ed284ece6e17a1f674c5ad902d74be0e3f,20,0,26664.1054980533
0x2d81713c58452c92c19b2917e1c770eecf53fe41,20,8736000,26664.1054980533
0xf9a27308a5441356ba3e3d5f591a1a0c12314165,19.9,0,26530.784970563032
0xa9a1b8c4ee2cf76e8b22c5dad3976d269e4050e5,19,25121827.746148545,25330.900223150635
0x927521baeba66f707a77b91910a84ff5ccf3447a,17.5,0,23331.092310796637
0x464d876a94de8cbc957a81b15a5da34f2b66107a,17,0,22664.489673345306
0x8e79ef9e545fa14e205d89970d50e7caa3456683,16.02290171,0.000067683248,21361.81707901893
0x96615f583cfd6a6e5ec222c2fe870099eae39277,15,0.024792656975221993,19998.079123539974
0x20b39ec7d7465f98e3d291896dcb93c33a3d90bf,15,0,19998.079123539974
0x03ae0545b364b684d71d373896a7114a250fe03f,14.9,0,19864.75859604971
0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,14.1,278092434.11287475,18798.194376127576
0x64931f06d3266049bf0195346973762e6996d764,14.010537904761906,13019493.994285714,18678.923038852303
0x9428e55418755b2f902d3b1f898a871ab5634182,14,3444799.0032,18664.87384863731
0x5d55ee935d1aad8cace20528c63b26bc6417b6ce,14,0,18664.87384863731
0x2b19fde5d7377b48be50a5d0a78398a496e8b15c,14,12794931,18664.87384863731
0x0e9d15e28e3de9bb3cf64ffbc2f2f49da9ac545b,13.74268328237789,5237503.666406526,18321.817843382873
0x157aa4e1f5780894a3c6641849091f619e390a99,12,0,15998.463298831979
0x8ddac589d703e854e22f71b8f2fb6efce134e5c0,11.7,0,15598.50171636118
0x7f53a82e997a297155c924e171f13656bba86e4a,11.5,2669534.4312,15331.860661380648
0x7430f26b9f52b81b6cbaff23e3e49c64cfe70ce3,11.5,0,15331.860661380648
0x6a025e093c6c0c5381d5763283e1db339ff22eb6,11,9900000,14665.258023929315
0x460ac13ea5c98d7cf0f133257764bc2da2ad61b4,10.95,0,14598.59776018418
0x93ea05af1aff2856d6477c9a744a31df1d159b7f,10.88,0,14505.273390940996
0x430acf422d1d655c995d78438a240632dce5bc9c,10.2,0,13598.693804007182
0xfa15e52b50c841624b866d19c2690b3560a7db60,10,2321334.288,13332.05274902665
0xedd88ca63d7c0b9cf182afdee3852258f31961f9,10,4747844.174182978,13332.05274902665
0xccd72bea12f3927063be3d8798a4b74082713cb5,10,9000000,13332.05274902665
0xca7ff89f33abb531478c60945b070d057ab3fa4b,10,0,13332.05274902665
0xba623f66fdafccff005e6a11aefa989492e7819c,10,0,13332.05274902665
0xaa1ff19f5d6acda4afd238d8fc0d722efdf16214,10,2321334.288,13332.05274902665
0x9d16df697b10c9fa4b1c944e01659f7528ec43ee,10,2321334.288,13332.05274902665
0x8c913aec7443fe2018639133398955e0e17fb0c1,10,0,13332.05274902665
0x84975093632eb3b37e1563df9ad340af6785e5a9,10,0,13332.05274902665
0x697b771f18ba878b81d00b652046fe601da433ad,10,10631,13332.05274902665
0x5fa591aa667e21a929ff87413b7f92a33e05b8e7,10,61965.288,13332.05274902665
0x59b8911e9ac4a3b6a7ffebcca6790797d49f6bf3,10,1160667.144,13332.05274902665
0x50c3156ee21bf82ef1d8a4c2dacb6ca2bda49adb,10,0,13332.05274902665
0x4cb440a92e8ac308d44c0c9799342dbce1dc1d13,10,2331965.2879999997,13332.05274902665
0x3ad57f76669f8bf8584f8e56d1859dd7c595be03,10,0,13332.05274902665
0x23476dad10f0557131635f3fef735b02bd430fef,10,2710605.236364401,13332.05274902665
0x1dc211331e251da56e697ec452ea7162991a6888,10,41334.288,13332.05274902665
0x169efe5ffa1011fd90ee8438785e49066ed8ed31,10,2321334.288,13332.05274902665
0x14d8d5e882eb9c1773c00f87745e7ae7d9a48a62,10,0,13332.05274902665
0x05e0092331470b585dc099735569b75f01ea6821,10,0,13332.05274902665
0x00b9070e042fc812047b00ac41c0d3c631ba06b1,10,0,13332.05274902665
0xe51dd6bf1b6e711877f1c270ce06e1796523cc19,9.9,0,13198.732221536384
0xdb851d1c7bd4370089bf04641e628cab2a538586,9.9,0,13198.732221536384
0x9fb587b08bb31e81be3c63231c3069706ca69260,9.874136323537291,337095.31776757137,13164.250631647925
0x5191d80247eec95aa3316f752c587953395f724b,9.8,0,13065.411694046117
0x7ef7b39ef64d5f85794b67f0212d6e5118b1bc68,9.7,0,12932.091166555849
0x236e948ea660d7b3831fe2fd66990f855b3907f3,9.5,0,12665.450111575317
0xdaa20d146f3971276c04ef34ddf72c1865b3470c,9.464304673857143,66869.86909860058,12617.860914472289
0x093a6acc115d202844b85bb033652c8bcfcf4283,9.1,0,12132.16800161425
0xf794a0880f0ae7854b6e894c965c907ed05a5c3b,9,2089200.8591999998,11998.847474123984
0xbeefc4351636c8759a4d2c6ccad5bebda543e13a,9,0,11998.847474123984
0x6c9bc4a3e72bd3ebd82e073f39b4cf31de5a703c,9,3881258.3700636444,11998.847474123984
0xb1b31feef753706f4ed6ae51939d7bc67151bf3b,8.9,10631,11865.52694663372
0x797bc1dafaeefea7055849cd7e3e2e6a045066cf,8.8,0,11732.206419143453
0x6106e7b682296e3e67de45df3294a706b36a51a6,8.5,7844930.999999999,11332.244836672653
0x93e5204e7033483985bcc94e48283f3359b2be69,8,0,10665.64219922132
0x8d69a355117c12a74a15d58bfb1303e6c110d518,8,0,10665.64219922132
0x6ab3d5ce3397a06c54469b7bf09a59632fbdf1a6,8,695522.2479614296,10665.64219922132
0x5516a578dabcd8c404e6c87dd6651175a8494297,8,1857067.4304,10665.64219922132
0x18624615c67e3717f941fa6dc72d9ac6e8be87cd,8,0,10665.64219922132
0x1024f09cc1e21f6964d70deb40af366b83b6eab7,8,0,10665.64219922132
0x6877be9e00d0bc5886c28419901e8cc98c1c2739,7.96257705,14645663.370707039,10615.749724878902
0xcf07a6bd547937b8b7980dcf631eb317b13ee9e0,7.85,0,10465.66140798592
0x613cc45da33d6ec1841a0dfceadce90e10ef6a01,7.73,0,10305.6767749976
0xd81cb5dfcabf2b801f72fbb1900c924379b85a96,7.25,0,9665.738243044321
0x678d6f95001b78a8ffeffabdc3f6ccc49475f8da,7.1,0,9465.75745180892
0xb977d1661b4650885f6d082c3cfd777620043ead,7,0,9332.436924318656
0x9fd92e3cfd4e1bb49f464e993b8e14f13c6d4201,7,0,9332.436924318656
0x62ade07ebc13a53d58abe68e99fc9b48ca69e8ac,7,0,9332.436924318656
0x5e85f8241c19315dacdad842966effc399253e62,7,3010631.0000076937,9332.436924318656
0x5615aca8c1a6f858aa344eb739348d66c70663e6,7,0,9332.436924318656
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,7,2135056.928,9332.436924318656
0x373db7e01ebfb92d9095ae6b8f6e3d24ce6f4d4d,7,0,9332.436924318656
0x330e75e1f48b1ee968197cc870511665a4a5a832,7,6300000,9332.436924318656
0x2a52d29245361a5d6be70cfdb15f61657cffd981,7,1635565.0016,9332.436924318656
0x25e2a2d95507933032cf6821642060f967b7dd3b,7,0,9332.436924318656
0x25631d831512dfdc2ed9c87945b6e2135db4290f,7,1624934.0015999998,9332.436924318656
0xe58d3828c9ee9d6df2379a275b28aac0322a05a8,6.944,941,9257.777428924106
0xfe5fe702d9667b3c36f3c330151273b0ed71fe04,6.59843106,0,8797.063095273583
0x09ee22a771ef2694eb0593b596081cfdab5bac9d,6.55144887,0,8734.426191739103
0xd64ba09385c90603dc8b27e93771bb3222ce96a4,6.4,8012007.028936147,8532.513759377056
0x0fc94925e1ddfa0169704fa7ebd00be8063f9d11,6.39,0,8519.18170662803
0x85fa37209154b102efd1800babc672781133b905,6.245243902439024,2505061.667153783,8326.192113785411
0xf926ee0cb7a68ae536b4e1cebfb872facdd6f179,6,1776676.13034049,7999.2316494159895
0xbe2e3d1bb4839cdd65e5aca8a7631d7bba9b4a2f,6,0,7999.2316494159895
0x3342641daebde1b37f9e85b8e1c0179a69e12ced,6,10631,7999.2316494159895
0x1420d63a395b06e1491bbe42e998f0644934cbd0,5.9,0,7865.911121925724
0x99ec5fc2b35320ffb64b0ef55b231866b3acd727,5.89594741698234,0,7860.508196869598
0x63a2368f4b509438ca90186cb1c15156713d5834,5.794666666666667,255354934.86416045,7725.480166302644
0xdb42868a9a5fbb9932bede5e9e0b677bcd7ce890,5.6,0,7465.949539454923
0x77e04b8c9684286c50d7f616b7d0006ae43e9a0e,5.6,0.00008,7465.949539454923
0x3d4473db9a6fc6bd82d14e04affad6224f592dea,5.55,0,7399.289275709791
0x4127b2d364a8b1a10afda5d63c95253ce336c09b,5.5,1287364.8584,7332.629011964657
0x285c6fa73f6830eabc2337824c3087c8bce73a98,5.5,0,7332.629011964657
0x6cab32c4882d9fc5bd7ecf8b681c5ca3bdf6e0fe,5.4,0,7199.308484474392
0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,5.27,8224663.943328843,7025.991798737044
0x1acc780fb0b55bc05d05bb5b0881a22b45282639,5.24375579,299350.01132255275,6991.002879529391
0x895d3a7ae880a04542387d0229452160700b60ab,5.1,0,6799.346902003591
